"month_year","total_orders","month_revenue","month_average_order_value"
"2016-10-01","265","46566.71","175.723433962264"
"2016-12-01","1","19.62","19.62"
"2017-01-01","750","127545.67","170.060893333333"
"2017-02-01","1653","271298.65","164.125015124017"
"2017-03-01","2546","414369.390000001","162.753098978791"
"2017-04-01","2303","390952.18","169.757785497178"
"2017-05-01","3546","567066.730000003","159.917295544276"
"2017-06-01","3135","490225.600000003","156.371802232856"
"2017-07-01","3872","566403.930000002","146.282006714877"
"2017-08-01","4193","646000.610000002","154.066446458384"
"2017-09-01","4150","701169.99","168.956624096386"
"2017-10-01","4478","751140.27","167.740122822689"
"2017-11-01","7289","1153528.05","158.25600905474"
"2017-12-01","5513","843199.170000002","152.947427897697"
"2018-01-01","7069","1078606.86","152.582665157732"
"2018-02-01","6555","966510.880000003","147.446358504958"
"2018-03-01","7003","1120677.99999999","160.028273597029"
"2018-04-01","6798","1132933.95","166.656950573698"
"2018-05-01","6749","1128836.69","167.259844421396"
"2018-06-01","6099","1012090.68","165.943708804722"
"2018-07-01","6159","1027903.86","166.894603019971"
"2018-08-01","6351","985414.279999999","155.15891670603"
