"cohort_month","month_offset","total_customers","retention_rate"
"1/09/2016 12:00:00 AM","0","4","1"
"1/09/2016 12:00:00 AM","1","0","0"
"1/09/2016 12:00:00 AM","2","0","0"
"1/09/2016 12:00:00 AM","3","0","0"
"1/09/2016 12:00:00 AM","4","0","0"
"1/09/2016 12:00:00 AM","5","0","0"
"1/09/2016 12:00:00 AM","6","0","0"
"1/09/2016 12:00:00 AM","7","0","0"
"1/09/2016 12:00:00 AM","8","0","0"
"1/09/2016 12:00:00 AM","9","0","0"
"1/09/2016 12:00:00 AM","10","0","0"
"1/09/2016 12:00:00 AM","11","0","0"
"1/09/2016 12:00:00 AM","12","0","0"
"1/09/2016 12:00:00 AM","13","0","0"
"1/09/2016 12:00:00 AM","14","0","0"
"1/09/2016 12:00:00 AM","15","0","0"
"1/09/2016 12:00:00 AM","16","0","0"
"1/09/2016 12:00:00 AM","17","0","0"
"1/09/2016 12:00:00 AM","18","0","0"
"1/09/2016 12:00:00 AM","19","0","0"
"1/09/2016 12:00:00 AM","20","0","0"
"1/09/2016 12:00:00 AM","21","0","0"
"1/09/2016 12:00:00 AM","22","0","0"
"1/09/2016 12:00:00 AM","23","0","0"
"1/09/2016 12:00:00 AM","24","0","0"
"1/09/2016 12:00:00 AM","25","0","0"
"1/10/2016 12:00:00 AM","0","321","1"
"1/10/2016 12:00:00 AM","1","0","0"
"1/10/2016 12:00:00 AM","2","0","0"
"1/10/2016 12:00:00 AM","3","0","0"
"1/10/2016 12:00:00 AM","4","0","0"
"1/10/2016 12:00:00 AM","5","0","0"
"1/10/2016 12:00:00 AM","6","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","7","0","0"
"1/10/2016 12:00:00 AM","8","0","0"
"1/10/2016 12:00:00 AM","9","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","10","0","0"
"1/10/2016 12:00:00 AM","11","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","12","0","0"
"1/10/2016 12:00:00 AM","13","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","14","0","0"
"1/10/2016 12:00:00 AM","15","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","16","0","0"
"1/10/2016 12:00:00 AM","17","1","0.00311526479750779"
"1/10/2016 12:00:00 AM","18","0","0"
"1/10/2016 12:00:00 AM","19","2","0.00623052959501558"
"1/10/2016 12:00:00 AM","20","2","0.00623052959501558"
"1/10/2016 12:00:00 AM","21","0","0"
"1/10/2016 12:00:00 AM","22","0","0"
"1/10/2016 12:00:00 AM","23","0","0"
"1/10/2016 12:00:00 AM","24","0","0"
"1/12/2016 12:00:00 AM","0","1","1"
"1/12/2016 12:00:00 AM","1","1","1"
"1/12/2016 12:00:00 AM","2","0","0"
"1/12/2016 12:00:00 AM","3","0","0"
"1/12/2016 12:00:00 AM","4","0","0"
"1/12/2016 12:00:00 AM","5","0","0"
"1/12/2016 12:00:00 AM","6","0","0"
"1/12/2016 12:00:00 AM","7","0","0"
"1/12/2016 12:00:00 AM","8","0","0"
"1/12/2016 12:00:00 AM","9","0","0"
"1/12/2016 12:00:00 AM","10","0","0"
"1/12/2016 12:00:00 AM","11","0","0"
"1/12/2016 12:00:00 AM","12","0","0"
"1/12/2016 12:00:00 AM","13","0","0"
"1/12/2016 12:00:00 AM","14","0","0"
"1/12/2016 12:00:00 AM","15","0","0"
"1/12/2016 12:00:00 AM","16","0","0"
"1/12/2016 12:00:00 AM","17","0","0"
"1/12/2016 12:00:00 AM","18","0","0"
"1/12/2016 12:00:00 AM","19","0","0"
"1/12/2016 12:00:00 AM","20","0","0"
"1/12/2016 12:00:00 AM","21","0","0"
"1/12/2016 12:00:00 AM","22","0","0"
"1/01/2017 12:00:00 AM","0","764","1"
"1/01/2017 12:00:00 AM","1","3","0.00392670157068063"
"1/01/2017 12:00:00 AM","2","2","0.00261780104712042"
"1/01/2017 12:00:00 AM","3","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","4","3","0.00392670157068063"
"1/01/2017 12:00:00 AM","5","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","6","4","0.00523560209424084"
"1/01/2017 12:00:00 AM","7","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","8","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","9","0","0"
"1/01/2017 12:00:00 AM","10","3","0.00392670157068063"
"1/01/2017 12:00:00 AM","11","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","12","6","0.00785340314136126"
"1/01/2017 12:00:00 AM","13","3","0.00392670157068063"
"1/01/2017 12:00:00 AM","14","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","15","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","16","2","0.00261780104712042"
"1/01/2017 12:00:00 AM","17","3","0.00392670157068063"
"1/01/2017 12:00:00 AM","18","0","0"
"1/01/2017 12:00:00 AM","19","1","0.00130890052356021"
"1/01/2017 12:00:00 AM","20","0","0"
"1/01/2017 12:00:00 AM","21","0","0"
"1/02/2017 12:00:00 AM","0","1752","1"
"1/02/2017 12:00:00 AM","1","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","2","5","0.00285388127853881"
"1/02/2017 12:00:00 AM","3","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","4","7","0.00399543378995434"
"1/02/2017 12:00:00 AM","5","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","6","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","7","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","8","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","9","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","10","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","11","5","0.00285388127853881"
"1/02/2017 12:00:00 AM","12","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","13","3","0.00171232876712329"
"1/02/2017 12:00:00 AM","14","2","0.00114155251141553"
"1/02/2017 12:00:00 AM","15","1","0.000570776255707763"
"1/02/2017 12:00:00 AM","16","1","0.000570776255707763"
"1/02/2017 12:00:00 AM","17","4","0.00228310502283105"
"1/02/2017 12:00:00 AM","18","0","0"
"1/02/2017 12:00:00 AM","19","0","0"
"1/02/2017 12:00:00 AM","20","0","0"
"1/03/2017 12:00:00 AM","0","2636","1"
"1/03/2017 12:00:00 AM","1","13","0.00493171471927162"
"1/03/2017 12:00:00 AM","2","10","0.00379362670713202"
"1/03/2017 12:00:00 AM","3","10","0.00379362670713202"
"1/03/2017 12:00:00 AM","4","9","0.00341426403641882"
